iter	Passed	Remaining
382	3531	5689
383	3540	5680
384	3549	5670
385	3558	5659
386	3566	5649
387	3575	5639
388	3584	5629
389	3592	5618
390	3600	5607
391	3608	5597
392	3617	5586
393	3626	5577
394	3634	5567
395	3641	5554
396	3648	5541
397	3656	5530
398	3663	5518
399	3672	5508
400	3680	5497
401	3687	5485
402	3694	5473
403	3701	5461
404	3711	5452
405	3719	5441
406	3728	5431
407	3738	5424
408	3747	5415
409	3756	5405
410	3765	5396
411	3773	5386
412	3782	5375
413	3789	5364
414	3799	5355
415	3807	5344
416	3815	5334
417	3824	5325
418	3833	5315
419	3842	5306
420	3851	5296
421	3860	5287
422	3869	5277
423	3878	5268
424	3886	5258
425	3895	5248
426	3903	5238
427	3912	5228
428	3920	5217
429	3927	5206
430	3934	5194
431	3942	5183
432	3950	5173
433	3958	5162
434	3966	5151
435	3973	5140
436	3980	5128
437	3988	5117
438	3996	5107
439	4004	5096
440	4012	5086
441	4021	5076
442	4029	5066
443	4038	5056
444	4047	5048
445	4056	5039
446	4065	5029
447	4073	5019
448	4082	5009
449	4090	4999
450	4099	4990
451	4107	4980
452	4118	4972
453	4126	4962
454	4134	4952
455	4143	4942
456	4151	4933
457	4160	4923
458	4168	4913
459	4177	4903
460	4186	4894
461	4195	4885
462	4204	4876
463	4213	4866
464	4222	4857
465	4230	4848
466	4239	4838
467	4249	4830
468	4257	4820
469	4265	4810
470	4273	4799
471	4282	4790
472	4290	4780
473	4300	4771
474	4310	4763
475	4318	4753
476	4326	4743
477	4334	4733
478	4342	4722
479	4349	4712
480	4358	4702
481	4366	4692
482	4374	4682
483	4383	4672
484	4391	4663
485	4399	4652
486	4407	4643
487	4415	4632
488	4423	4622
489	4431	4612
490	4440	4603
491	4448	4593
492	4457	4584
493	4466	4574
494	4474	4565
495	4483	4555
496	4491	4545
497	4499	4535
498	4508	4526
499	4517	4517
500	4525	4507
501	4533	4497
502	4542	4488
503	4551	4478
504	4559	4469
505	4567	4459
506	4576	4450
507	4584	4440
508	4592	4430
509	4599	4419
510	4607	4408
511	4615	4398
512	4623	4388
513	4631	4379
514	4639	4369
515	4647	4358
516	4655	4349
517	4662	4338
518	4671	4329
519	4680	4320
520	4688	4310
521	4697	4301
522	4705	4291
523	4713	4282
524	4722	4273
525	4731	4263
526	4739	4253
527	4747	4243
528	4753	4232
529	4762	4223
530	4770	4213
531	4780	4205
532	4789	4196
533	4797	4186
534	4806	4177
535	4815	4168
536	4823	4159
537	4833	4150
538	4841	4141
539	4850	4131
540	4858	4122
541	4867	4113
542	4878	4105
543	4887	4096
544	4896	4088
545	4906	4079
546	4915	4070
547	4923	4060
548	4933	4052
549	4941	4043
550	4949	4033
551	4957	4023
552	4965	4013
553	4973	4003
554	4981	3994
555	4989	3984
556	4998	3975
557	5006	3965
558	5014	3955
559	5022	3946
560	5031	3937
561	5039	3927
562	5047	3918
563	5055	3908
564	5063	3898
565	5071	3888
566	5079	3879
567	5088	3869
568	5096	3860
569	5104	3850
570	5112	3841
571	5121	3832
572	5130	3822
573	5139	3814
574	5148	3805
575	5157	3796
576	5166	3787
577	5174	3777
578	5181	3767
579	5190	3758
580	5198	3748
581	5206	3739
582	5215	3730
583	5225	3722
584	5235	3713
585	5243	3704
586	5251	3695
587	5260	3686
588	5269	3676
589	5277	3667
590	5286	3658
591	5295	3649
592	5303	3640
593	5313	3631
594	5322	3622
595	5330	3613
596	5339	3604
597	5348	3595
598	5357	3586
599	5365	3577
600	5374	3567
601	5383	3559
602	5392	3550
603	5400	3540
604	5408	3530
605	5417	3521
606	5426	3513
607	5435	3504
608	5444	3495
609	5452	3485
610	5461	3476
611	5469	3467
612	5478	3458
613	5486	3449
614	5495	3440
615	5502	3430
616	5512	3421
617	5520	3412
618	5529	3403
619	5539	3395
620	5548	3386
621	5556	3376
622	5564	3367
623	5574	3358
624	5583	3350
625	5592	3341
626	5600	3331
627	5609	3322
628	5617	3313
629	5625	3304
630	5635	3295
631	5643	3286
632	5652	3277
633	5659	3267
634	5667	3257
635	5676	3248
636	5685	3239
637	5693	3230
638	5702	3221
639	5711	3212
640	5720	3203
641	5728	3194
642	5738	3186
643	5747	3177
644	5754	3167
645	5762	3157
646	5770	3148
647	5779	3139
648	5787	3129
649	5795	3120
650	5804	3111
651	5813	3102
652	5822	3093
653	5831	3085
654	5839	3075
655	5848	3067
656	5857	3057
657	5865	3048
658	5873	3039
659	5881	3030
660	5890	3020
661	5898	3011
662	5907	3002
663	5916	2993
664	5926	2985
665	5935	2976
666	5944	2967
667	5953	2958
668	5961	2949
669	5970	2940
670	5979	2931
671	5987	2922
672	5994	2912
673	6003	2903
674	6011	2894
675	6018	2884
676	6026	2875
677	6035	2866
678	6045	2858
679	6054	2848
680	6062	2839
681	6071	2830
682	6079	2821
683	6088	2812
684	6096	2803
685	6105	2794
686	6114	2785
687	6123	2776
688	6135	2769
689	6144	2760
690	6152	2751
691	6160	2742
692	6168	2732
693	6176	2723
694	6184	2714
695	6194	2705
696	6202	2696
697	6211	2687
698	6219	2678
699	6227	2669
700	6235	2659
701	6243	2650
702	6252	2641
703	6261	2632
704	6270	2623
705	6278	2614
706	6285	2604
707	6293	2595
708	6300	2586
709	6308	2576
710	6316	2567
711	6324	2558
712	6333	2549
713	6340	2539
714	6347	2530
715	6355	2520
716	6363	2511
717	6370	2502
718	6378	2492
719	6385	2483
720	6393	2473
721	6401	2464
722	6408	2455
723	6417	2446
724	6426	2437
725	6434	2428
726	6442	2419
727	6450	2410
728	6458	2401
729	6466	2391
730	6473	2382
731	6481	2373
732	6490	2364
733	6498	2355
734	6506	2345
735	6513	2336
736	6521	2327
737	6529	2318
738	6538	2309
739	6546	2300
740	6555	2291
741	6563	2282
742	6571	2272
743	6579	2263
744	6588	2254
745	6596	2245
746	6604	2236
747	6611	2227
748	6620	2218
749	6628	2209
750	6636	2200
751	6645	2191
752	6653	2182
753	6660	2173
754	6667	2163
755	6676	2154
756	6684	2145
757	6691	2136
758	6699	2127
759	6706	2117
760	6714	2108
761	6722	2099
762	6730	2090
763	6738	2081
764	6746	2072
765	6754	2063
766	6762	2054
767	6770	2045
768	6777	2035
769	6785	2026
770	6793	2017
771	6801	2008
772	6811	2000
773	6820	1991
774	6828	1982
775	6838	1973
776	6846	1964
777	6855	1956
778	6865	1947
779	6874	1938
780	6882	1930
781	6890	1920
782	6897	1911
783	6907	1903
784	6915	1893
785	6924	1885
786	6931	1875
787	6939	1867
788	6946	1857
789	6953	1848
790	6961	1839
791	6968	1830
792	6976	1821
793	6984	1812
794	6992	1803
795	7001	1794
796	7009	1785
797	7018	1776
798	7027	1767
799	7036	1759
800	7043	1749
801	7051	1740
802	7059	1731
803	7068	1723
804	7077	1714
805	7084	1705
806	7092	1696
807	7100	1687
808	7107	1678
809	7115	1669
810	7124	1660
811	7134	1651
812	7142	1642
813	7150	1633
814	7158	1624
815	7168	1616
816	7178	1607
817	7186	1599
818	7195	1590
819	7205	1581
820	7213	1572
821	7221	1563
822	7230	1555
823	7239	1546
824	7247	1537
825	7255	1528
826	7264	1519
827	7273	1510
828	7280	1501
829	7290	1493
830	7298	1484
831	7307	1475
832	7314	1466
833	7322	1457
834	7330	1448
835	7338	1439
836	7346	1430
837	7355	1421
838	7361	1412
839	7370	1403
840	7378	1395
841	7387	1386
842	7395	1377
843	7402	1368
844	7411	1359
845	7419	1350
846	7428	1341
847	7436	1333
848	7444	1324
849	7452	1315
850	7461	1306
851	7469	1297
852	7476	1288
853	7485	1279
854	7493	1270
855	7502	1262
856	7509	1253
857	7517	1244
858	7524	1235
859	7531	1226
860	7539	1217
861	7546	1208
862	7553	1199
863	7560	1190
864	7568	1181
865	7576	1172
866	7586	1163
867	7594	1154
868	7602	1146
869	7610	1137
870	7620	1128
871	7627	1119
872	7635	1110
873	7642	1101
874	7651	1093
875	7659	1084
876	7667	1075
877	7675	1066
878	7683	1057
879	7694	1049
880	7702	1040
881	7710	1031
882	7718	1022
883	7728	1014
884	7737	1005
885	7745	996
886	7754	987
887	7763	979
888	7772	970
889	7780	961
890	7789	952
891	7799	944
892	7807	935
893	7816	926
894	7824	917
895	7831	909
896	7839	900
897	7848	891
898	7857	882
899	7865	873
900	7874	865
901	7883	856
902	7891	847
903	7899	838
904	7908	830
905	7916	821
906	7924	812
907	7932	803
908	7941	794
909	7949	786
910	7957	777
911	7966	768
912	7973	759
913	7981	751
914	7989	742
915	7997	733
916	8005	724
917	8012	715
918	8020	706
919	8027	698
920	8034	689
921	8041	680
922	8048	671
923	8055	662
924	8062	653
925	8070	644
926	8076	636
927	8083	627
928	8089	618
929	8096	609
930	8102	600
931	8109	591
932	8116	582
933	8122	573
934	8130	565
935	8136	556
936	8143	547
937	8150	538
938	8157	529
939	8164	521
940	8170	512
941	8177	503
942	8184	494
943	8191	485
944	8198	477
945	8204	468
946	8211	459
947	8219	450
948	8226	442
949	8233	433
950	8240	424
951	8246	415
952	8252	407
953	8260	398
954	8268	389
955	8275	380
956	8282	372
957	8289	363
958	8296	354
959	8303	345
960	8309	337
961	8315	328
962	8322	319
963	8329	311
964	8337	302
965	8343	293
966	8349	284
967	8356	276
968	8363	267
969	8370	258
970	8378	250
971	8385	241
972	8394	232
973	8400	224
974	8406	215
975	8412	206
976	8419	198
977	8426	189
978	8433	180
979	8440	172
980	8447	163
981	8454	154
982	8460	146
983	8467	137
984	8474	129
985	8480	120
986	8488	111
987	8494	103
988	8501	94
989	8507	85
990	8515	77
991	8523	68
992	8529	60
993	8536	51
994	8542	42
995	8549	34
996	8555	25
997	8563	17
998	8570	8
999	8577	0
